mkt_email,next_mnth_pv,age,tenure,ammount_spent,vehicle,food,beverage,art,baby,personal_care,toys,clothing,decor,cell_phones,construction,home_appliances,electronics,sports,tools,games,industry,pc,jewel,books,music_books_movies,health
1,1677.12,43.0,0.0,40.56,0,1,2,1,0,1,3,2,3,3,1,0,6,1,0,2,1,3,0,1,1,2
1,1320.13,40.0,1.0,21.42,0,1,2,2,1,0,1,1,1,0,0,0,0,2,0,3,2,1,1,1,1,3
0,82.1,61.0,0.0,241.92,0,2,2,0,2,3,1,2,1,1,2,1,0,0,1,0,1,2,1,1,1,1
0,18.12,23.0,0.0,64.25,0,1,0,0,1,3,0,1,2,2,1,2,4,1,0,0,1,4,2,1,0,2
1,1045.91,33.0,0.0,60.61,0,0,1,1,0,1,1,1,1,1,1,1,2,1,0,2,1,1,0,1,1,3
0,52.67,74.0,0.0,194.81,0,3,2,0,0,2,2,2,3,2,0,2,0,1,4,1,0,0,3,0,0,2
1,1267.68,74.0,0.0,410.71,0,1,0,3,1,2,3,2,1,2,1,2,2,1,2,4,0,0,0,1,0,2
0,49.57,37.0,1.0,7.07,0,1,0,0,0,1,2,2,2,2,0,1,0,0,0,1,1,2,2,1,0,3
1,834.12,26.0,1.0,125.06,0,0,0,1,0,2,1,0,0,5,1,1,1,1,2,1,0,0,2,0,0,1
1,71433.1,29.0,0.0,41173.89,0,2,0,1,0,2,0,2,2,3,0,0,4,1,0,1,1,1,1,0,1,1
1,969.19,24.0,1.0,112.94,0,2,0,0,0,1,3,0,1,2,1,1,3,1,0,3,0,4,0,2,1,1
1,1252.7,42.0,0.0,50.1,0,2,0,0,2,3,1,0,0,9,1,0,1,1,1,2,1,0,0,2,1,1
0,198.69,22.0,1.0,42.06,1,0,3,1,1,1,2,0,1,3,2,2,1,2,0,1,1,1,1,2,2,2
0,9.03,51.0,0.0,40.52,0,3,1,0,1,2,1,2,0,7,3,3,4,0,0,2,1,1,5,2,0,1
0,172.52,28.0,1.0,156.6,0,2,0,3,2,1,1,1,1,5,2,2,0,2,1,1,1,3,2,2,0,3
1,1188.5,39.0,0.0,0.33,0,1,1,1,1,0,1,5,0,0,0,1,2,2,0,1,0,4,1,2,0,3
1,1663.62,26.0,1.0,182.95,1,2,1,0,0,1,1,4,0,2,1,3,3,2,0,3,1,2,2,0,1,4
0,21.43,41.0,0.0,149.71,0,2,1,1,0,1,0,1,1,5,2,3,3,3,0,1,3,4,1,1,0,2
0,35.17,29.0,0.0,42.16,0,1,0,1,2,1,1,2,0,6,0,1,3,1,1,2,0,1,1,3,2,1
1,1066.94,26.0,1.0,123.0,0,2,0,2,1,1,0,0,1,5,1,0,1,1,0,2,0,1,1,1,1,2
0,180.34,46.0,1.0,49.09,0,0,0,2,1,0,2,1,1,6,0,1,3,0,1,0,1,4,0,0,0,4
0,157.89,43.0,1.0,69.05,0,0,0,0,2,2,1,4,2,5,2,0,1,1,2,1,1,2,2,2,1,3
1,1708.69,35.0,0.0,13.74,0,0,2,3,1,1,1,1,1,4,0,2,1,1,1,2,0,3,2,2,4,2
1,1432.32,28.0,0.0,90.51,0,1,0,1,2,0,3,2,2,0,0,3,1,0,0,0,1,3,0,1,1,2
0,138.99,19.0,1.0,10.74,0,2,0,1,0,1,0,4,1,4,3,0,1,0,1,3,1,0,2,0,0,2
1,1517.83,32.0,0.0,51.55,0,3,1,1,0,3,0,0,1,3,0,1,1,1,2,2,3,4,1,0,2,2
0,25.69,37.0,0.0,23.74,0,0,0,1,1,2,1,1,0,0,1,2,0,1,1,5,1,2,3,3,2,0
0,52.87,32.0,0.0,52.98,0,0,0,3,1,0,0,2,0,2,2,3,3,0,3,0,1,2,0,2,3,2
1,1074.53,44.0,1.0,66.51,0,0,0,0,0,0,3,1,2,1,1,1,0,0,0,2,0,2,1,3,2,2
1,1270.31,36.0,0.0,44.01,0,2,0,0,1,0,1,1,1,5,0,2,1,3,1,3,1,2,0,1,1,2
1,1349.22,41.0,1.0,93.47,0,0,1,0,1,2,0,0,2,5,0,0,0,1,1,1,1,1,1,0,1,3
0,56.6,34.0,0.0,111.48,0,2,0,2,1,2,2,2,1,5,1,2,0,0,0,1,1,2,0,1,1,1
1,1650.38,31.0,0.0,172.17,1,1,3,0,2,2,2,1,1,3,1,1,1,2,2,1,0,4,1,4,1,0
1,1390.55,42.0,0.0,218.08,0,0,1,1,3,2,1,2,1,1,1,1,0,0,2,1,0,2,0,2,1,1
1,1435.68,44.0,0.0,181.75,0,2,0,1,0,0,0,1,4,5,0,1,2,0,0,3,2,1,1,0,1,2
0,104.78,28.0,0.0,458.24,0,1,1,0,0,1,1,2,4,4,2,1,0,1,0,5,1,3,1,1,1,2
0,11.83,40.0,1.0,14.83,0,0,2,1,0,1,0,2,1,5,1,0,1,1,0,5,1,3,0,3,1,1
0,16.09,69.0,0.0,66.72,0,3,1,1,0,0,1,3,1,0,1,0,3,1,1,2,1,1,1,0,1,2
0,181.46,37.0,0.0,36.09,0,1,1,1,0,0,0,3,1,0,0,2,2,0,0,5,2,3,2,2,0,3
1,1453.99,49.0,0.0,77.22,0,2,4,1,2,2,1,1,1,4,0,1,1,1,1,2,1,3,1,1,1,0
1,1611.18,54.0,0.0,106.15,0,1,0,1,1,3,0,3,3,5,1,1,1,1,0,2,2,1,0,0,2,3
1,1135.16,69.0,0.0,41.55,0,1,0,0,0,1,2,3,2,2,2,0,2,0,1,0,0,1,0,2,1,1
0,3.96,26.0,0.0,69.91,0,1,1,0,0,0,0,3,1,2,0,1,1,0,0,2,2,2,0,0,0,3
1,1587.41,42.0,0.0,391.67,0,0,1,1,3,4,3,1,2,4,1,2,1,0,0,3,1,1,1,0,1,2
1,1452.04,38.0,1.0,29.56,0,1,2,3,3,1,0,1,0,3,0,0,3,1,2,3,0,1,0,2,2,1
1,1153.29,27.0,0.0,168.59,0,1,1,0,1,2,1,5,0,2,2,0,3,0,1,2,0,1,1,0,1,1
1,1383.56,60.0,0.0,60.95,0,0,2,2,0,0,0,1,4,2,1,2,2,2,1,2,0,2,0,1,0,0
0,195.39,32.0,0.0,118.91,0,2,1,0,1,0,0,3,1,3,0,1,2,1,2,2,0,2,2,2,2,2
1,1688.54,37.0,2.0,269.8,0,2,2,0,2,0,3,5,0,2,1,0,2,0,0,2,3,0,1,1,0,1
0,16.5,24.0,0.0,42.43,1,1,2,5,2,1,1,0,0,2,4,2,4,0,0,1,1,1,1,0,0,3
0,15.91,39.0,0.0,38.37,0,0,3,2,1,0,1,2,2,5,0,1,2,2,1,1,2,4,1,0,2,1
0,49.26,25.0,0.0,82.27,0,2,1,1,0,2,1,3,2,3,1,1,2,0,1,1,0,3,1,3,3,1
1,1978.16,47.0,0.0,47.54,0,2,4,1,2,1,1,5,3,2,1,2,3,0,1,1,1,3,1,0,1,3
0,42.48,44.0,0.0,161.34,0,1,1,0,1,2,3,2,1,4,2,1,2,0,1,3,2,1,0,0,0,3
0,74.28,31.0,0.0,211.59,0,0,0,0,1,0,2,1,1,5,1,1,3,0,3,2,0,2,1,2,2,3
0,192.43,52.0,0.0,114.76,0,2,1,2,2,2,1,1,3,1,1,1,4,1,1,4,2,3,1,1,1,0
1,1415.57,32.0,0.0,57.09,0,1,2,2,2,2,1,2,2,1,2,1,2,0,2,3,0,2,0,0,2,1
0,74.79,30.0,0.0,40.72,0,1,4,0,2,0,0,2,1,3,1,0,1,0,1,1,0,6,3,2,4,4
0,100.48,63.0,0.0,137.78,0,1,0,0,1,0,0,3,1,5,0,0,2,2,1,2,0,2,0,0,1,3
1,1543.07,20.0,0.0,72.61,0,2,1,2,2,2,1,1,1,2,2,1,2,1,0,1,1,3,1,2,0,3
0,10.65,37.0,0.0,40.16,1,1,1,0,0,2,0,1,1,5,2,0,3,1,0,3,1,2,1,0,0,3
1,1950.63,38.0,0.0,223.74,0,3,0,2,3,0,2,1,1,1,3,2,3,0,1,3,1,4,1,2,1,4
0,29.05,44.0,0.0,26.82,0,0,1,2,0,0,0,2,0,2,0,1,1,2,0,4,1,1,1,0,2,3
1,1346.58,43.0,1.0,16.97,1,2,0,1,0,0,2,1,1,5,1,4,1,0,0,3,2,1,1,0,0,2
0,149.3,36.0,2.0,95.11,0,2,1,1,0,0,1,2,0,2,1,1,5,1,0,1,3,0,0,0,2,3
0,55.37,47.0,0.0,15.99,0,0,2,2,1,0,0,1,0,7,1,1,3,1,2,3,3,3,2,1,1,1
0,268.3,32.0,0.0,100.85,0,0,0,2,2,1,0,1,0,3,0,3,1,0,0,1,1,1,0,1,3,2
1,1591.1,26.0,1.0,125.31,1,0,1,0,1,1,2,3,0,4,0,0,2,3,3,1,2,0,0,4,3,1
0,118.39,37.0,1.0,22.46,0,1,1,1,3,1,2,2,0,1,0,1,2,0,1,4,2,0,1,2,1,0
1,1932.67,45.0,1.0,72.4,0,2,0,1,1,1,2,1,0,3,1,0,4,0,3,1,3,3,2,2,0,4
0,42.34,45.0,0.0,95.99,0,0,1,2,3,0,0,1,1,3,0,0,1,1,0,1,0,3,2,2,1,1
0,138.88,36.0,2.0,137.09,0,0,1,1,0,1,1,4,2,3,2,1,4,3,1,1,3,4,2,0,1,2
0,3.95,25.0,0.0,10.43,0,2,1,0,0,0,1,1,2,3,0,0,1,0,0,3,1,2,1,2,2,0
1,1056.11,27.0,0.0,4.92,0,1,0,1,3,1,0,2,1,0,1,1,1,1,0,2,0,0,1,0,2,2
1,924.87,40.0,0.0,83.56,0,1,0,0,0,1,0,1,1,4,1,1,1,0,0,0,0,1,0,0,1,4
0,276.45,44.0,0.0,153.32,1,0,1,1,1,0,0,0,1,3,1,1,1,0,1,1,3,0,0,1,2,0
1,1454.19,36.0,0.0,118.23,0,1,2,0,2,3,0,2,0,3,0,1,0,1,0,2,1,3,0,1,2,3
0,53.09,32.0,1.0,117.07,0,1,2,2,1,2,1,0,2,3,1,0,3,1,1,1,0,3,1,1,0,0
1,1197.38,37.0,2.0,18.14,0,0,0,0,0,1,0,2,1,4,0,3,4,0,1,1,2,0,0,0,3,3
0,16.69,23.0,0.0,25.81,1,4,0,2,1,5,1,2,0,0,1,2,1,1,1,2,1,0,0,1,0,3
1,1543.11,42.0,0.0,136.79,0,0,0,2,0,1,4,0,1,0,1,1,1,0,1,1,0,4,2,0,1,3
0,14.85,45.0,0.0,174.46,0,2,1,0,0,4,2,0,0,1,1,1,2,1,0,1,2,3,1,0,2,2
1,924.26,27.0,1.0,11.37,0,1,2,0,0,3,0,0,3,2,0,0,4,2,0,1,0,0,1,0,2,0
1,1323.83,41.0,1.0,112.13,0,0,1,1,1,1,4,5,1,2,0,3,0,1,1,3,0,3,2,1,1,0
1,1404.26,49.0,0.0,100.21,0,0,1,4,0,0,5,2,0,2,1,2,1,0,0,3,0,2,1,0,3,1
1,1732.3,29.0,0.0,72.37,0,1,1,1,2,1,1,0,2,7,0,2,2,1,1,4,2,3,1,0,1,2
1,1974.56,21.0,0.0,442.34,0,0,1,2,0,2,3,3,2,4,0,2,0,2,0,3,1,4,1,2,3,0
0,41.39,27.0,0.0,80.72,0,1,2,2,0,0,1,1,2,2,0,1,2,0,1,2,2,0,1,0,1,0
0,5.72,49.0,0.0,186.87,0,1,0,4,0,1,2,0,1,5,0,3,1,1,1,1,0,2,2,0,2,4
0,29.51,33.0,1.0,42.98,0,1,0,2,1,1,2,1,1,4,0,1,1,2,1,2,0,5,0,1,2,4
0,95.01,44.0,0.0,7.82,0,2,0,0,0,1,1,3,1,2,0,1,3,1,2,3,1,1,2,3,0,3
0,1.05,32.0,0.0,31.82,0,2,1,1,0,0,4,3,1,4,0,0,2,2,1,2,0,3,2,0,1,0
0,22.22,24.0,1.0,31.6,0,2,2,1,1,0,0,2,1,2,2,0,3,1,2,2,1,2,1,0,0,1
1,1358.27,51.0,1.0,8.71,0,1,2,1,0,1,1,0,1,3,2,1,2,1,1,1,3,2,1,0,1,1
0,5.19,58.0,1.0,125.39,1,0,1,1,2,1,0,3,0,2,0,1,1,1,3,2,0,2,1,0,0,3
1,1233.02,50.0,1.0,16.97,0,0,1,1,0,1,2,3,2,2,1,0,0,0,0,3,2,3,1,1,0,1
1,1387.35,36.0,0.0,35.46,1,0,1,2,0,0,0,5,1,2,0,0,2,0,2,1,2,3,1,1,0,2
0,27.23,46.0,0.0,318.4,0,1,0,2,0,0,0,2,0,3,0,0,2,1,1,0,0,3,0,0,1,4
1,1334.96,45.0,1.0,39.28,0,0,1,1,3,1,0,1,3,2,1,2,1,1,1,3,0,1,0,1,2,2
0,105.85,40.0,0.0,99.9,0,3,0,0,4,1,2,1,1,3,0,1,4,0,2,1,0,1,0,1,2,0
1,1379.29,64.0,0.0,8.58,0,0,1,0,0,1,1,0,1,4,0,0,2,0,2,2,2,2,1,2,2,2
1,1728.26,20.0,0.0,10.52,0,1,2,2,1,3,1,3,0,3,1,4,1,1,0,0,1,2,2,2,0,5
1,1305.61,45.0,1.0,20.03,0,2,0,0,3,0,2,2,1,1,0,1,1,1,2,1,1,0,1,2,2,2
1,1537.86,31.0,0.0,138.27,0,1,1,3,0,1,1,2,2,4,1,1,3,0,2,3,0,2,1,2,0,4
1,1434.81,21.0,0.0,13.5,0,1,3,1,1,0,1,0,2,6,2,0,0,1,2,3,1,3,0,1,0,1
1,1766.78,35.0,0.0,50.93,0,1,2,2,2,1,2,3,1,2,0,0,2,0,3,1,1,3,1,0,0,5
0,83.7,20.0,0.0,42.79,0,2,3,1,0,1,1,2,2,2,0,1,5,2,4,4,2,4,1,1,1,2
1,1465.95,28.0,2.0,7.22,0,2,0,1,1,3,2,1,1,2,0,0,1,0,1,6,4,3,1,2,1,2
0,10.07,42.0,0.0,64.57,0,0,3,2,1,0,2,1,1,5,3,2,4,0,1,1,1,4,2,3,0,0
0,13.13,24.0,0.0,12.66,0,0,0,1,0,3,1,2,0,5,1,1,2,1,0,1,1,2,1,3,0,3
1,1688.89,27.0,0.0,62.63,0,0,3,2,0,1,1,3,1,0,2,1,5,0,0,3,2,4,1,1,0,4
0,88.26,57.0,1.0,33.85,0,0,0,0,1,4,1,1,2,2,2,0,3,2,2,2,2,1,0,1,2,1
0,102.87,43.0,0.0,54.25,0,1,1,2,2,0,0,2,1,1,1,1,1,1,0,6,2,3,2,1,0,1
0,148.56,36.0,0.0,393.25,0,0,1,1,0,0,0,1,0,4,2,0,2,2,2,1,0,1,0,2,0,2
1,1971.87,54.0,1.0,235.1,0,1,3,0,0,1,1,5,0,4,0,0,4,1,6,1,1,1,2,0,2,1
0,19.5,22.0,0.0,29.53,0,0,1,2,2,3,1,3,0,2,0,3,0,0,3,2,1,2,2,1,3,3
1,1158.43,29.0,0.0,55.78,0,0,0,1,0,1,1,4,1,2,1,0,1,0,3,0,0,2,1,2,2,2
0,200.04,29.0,1.0,112.23,0,2,1,1,1,1,1,1,1,4,3,0,0,0,1,1,4,1,0,3,1,0
0,122.01,34.0,0.0,233.11,0,0,0,3,1,0,1,3,1,1,2,1,3,0,1,3,0,1,0,0,1,3
1,1150.6,34.0,0.0,23.4,1,1,1,0,1,0,1,2,1,2,0,1,3,0,1,1,0,3,4,0,1,0
0,51.19,35.0,0.0,50.23,0,0,1,0,1,1,2,2,2,4,0,2,3,0,0,1,0,5,2,1,2,0
0,32.06,24.0,2.0,131.15,0,0,0,1,0,1,1,3,2,2,1,1,1,1,4,0,2,5,1,1,1,1
0,98.62,35.0,2.0,76.8,0,0,1,0,1,1,1,4,1,6,2,0,1,1,1,0,2,3,0,0,0,3
0,347.91,38.0,0.0,92.6,0,0,1,1,2,0,3,0,2,3,2,1,3,1,1,1,1,3,0,1,0,2
0,29.88,35.0,0.0,105.38,0,0,1,2,1,4,5,5,1,5,0,2,5,0,1,4,2,4,1,1,0,0
0,0.59,36.0,0.0,22.19,0,1,3,2,0,2,2,3,0,6,0,1,1,1,0,3,3,1,1,2,2,1
1,932.77,21.0,1.0,57.26,0,1,1,0,0,2,2,1,1,2,0,1,3,0,1,1,0,1,0,0,1,2
1,1115.18,46.0,1.0,293.18,0,2,1,1,2,0,0,2,0,1,1,1,3,0,0,1,0,1,0,1,2,2
0,22.56,19.0,0.0,317.38,0,1,1,0,0,2,0,4,0,1,3,1,0,1,1,3,0,1,1,0,1,1
1,974.7,35.0,0.0,19.2,0,1,1,1,0,0,3,2,0,3,0,0,0,1,0,2,1,2,0,2,0,1
1,955.99,45.0,0.0,33.91,0,2,1,2,0,0,1,0,5,1,1,1,1,0,2,2,0,1,0,0,0,1
1,1093.9,41.0,0.0,51.06,0,0,0,0,0,1,4,2,1,1,1,0,2,0,1,4,3,4,1,0,0,0
0,12.23,30.0,0.0,2.19,0,1,0,3,2,0,1,2,1,2,2,1,3,1,3,3,0,3,0,1,1,0
1,1223.41,33.0,0.0,25.02,0,2,0,1,3,1,1,3,0,4,2,0,2,1,0,2,0,3,0,1,0,1
1,1666.5,29.0,1.0,201.33,0,0,0,1,3,0,1,3,1,6,1,0,2,1,3,2,1,2,2,0,1,2
0,121.31,33.0,1.0,10.69,0,1,1,2,0,0,1,1,1,3,2,0,4,0,0,3,2,3,1,0,2,2
0,114.39,23.0,0.0,155.13,1,0,2,0,0,2,1,0,0,3,3,3,2,3,0,2,0,2,0,1,1,2
0,53.55,22.0,0.0,151.23,0,2,2,1,1,1,1,1,0,6,3,0,4,2,0,0,1,1,1,1,1,1
1,1290.68,20.0,1.0,83.03,0,0,1,1,0,0,3,1,0,2,1,2,1,3,0,2,3,1,0,0,2,1
1,1491.52,52.0,1.0,210.91,0,0,1,1,1,1,2,2,2,1,1,2,0,0,2,0,0,1,3,2,1,3
0,37.9,69.0,1.0,126.17,0,1,1,0,1,1,2,0,0,4,0,0,1,1,1,4,0,2,2,0,0,2
1,1791.07,52.0,1.0,108.21,1,1,1,1,2,2,1,1,1,3,1,0,2,1,1,1,4,0,0,3,1,3
1,1279.48,30.0,0.0,54.27,0,0,0,0,1,2,1,2,1,3,3,0,5,1,0,0,2,0,1,0,0,2
1,1485.15,48.0,1.0,90.76,0,0,1,0,0,0,2,2,3,4,2,0,1,2,0,3,1,2,1,4,2,0
1,1012.57,49.0,0.0,40.27,0,1,1,0,0,0,1,0,1,2,2,0,2,1,1,4,0,3,0,1,0,3
1,1352.07,30.0,1.0,26.33,0,3,0,0,1,2,0,3,0,5,2,0,3,3,3,2,0,2,0,0,1,2
0,150.54,41.0,1.0,171.35,0,1,0,2,0,2,2,0,0,1,2,0,2,3,1,3,1,2,0,1,0,4
1,1659.4,27.0,0.0,67.05,0,2,0,0,0,2,3,3,4,1,1,2,3,0,1,3,2,1,5,0,0,2
1,1203.81,31.0,0.0,158.87,0,0,0,0,0,1,3,1,1,2,0,2,2,0,0,2,0,1,1,1,3,3
0,131.44,65.0,0.0,68.89,1,1,2,1,3,2,0,2,2,7,1,0,1,0,1,3,0,3,1,1,1,3
1,1084.41,65.0,0.0,27.6,0,0,0,1,0,0,0,2,1,2,0,0,3,0,1,3,2,1,1,2,0,3
1,1522.39,31.0,0.0,139.41,0,0,1,5,1,1,0,0,0,1,2,1,1,1,2,2,0,2,3,2,1,4
0,42.17,47.0,1.0,56.59,2,2,1,0,0,2,3,3,1,5,3,2,6,0,0,1,0,1,0,0,0,2
1,1384.95,47.0,0.0,77.27,0,2,1,2,0,0,3,1,0,0,0,1,0,3,0,1,1,3,3,2,2,1
0,134.37,23.0,0.0,78.05,1,1,1,1,1,2,2,1,1,2,2,0,2,0,1,1,0,0,3,1,0,4
1,1685.7,48.0,0.0,139.9,0,0,1,1,0,0,1,2,1,1,0,1,3,1,2,2,4,5,1,0,1,3
0,67.15,30.0,0.0,246.56,0,0,1,2,0,1,0,0,1,3,1,2,2,0,1,0,1,3,1,1,0,4
1,1337.48,19.0,0.0,252.12,0,0,0,1,0,2,1,4,0,1,0,0,3,1,0,3,2,3,3,1,1,2
1,3760.7,42.0,0.0,25723.48,0,0,1,3,1,2,1,2,2,5,1,1,4,0,1,1,2,1,3,2,0,1
0,131.82,41.0,1.0,0.54,0,2,0,0,0,0,0,4,2,5,1,2,2,1,3,2,2,3,1,2,1,0
1,1018.59,32.0,1.0,16.09,0,2,0,1,0,0,0,0,0,4,1,2,3,0,0,1,2,1,2,0,3,0
1,1587.35,28.0,0.0,18.03,0,3,0,0,3,2,1,3,1,6,3,1,0,0,3,2,0,0,3,2,1,0
1,1285.33,34.0,0.0,8.69,0,2,1,2,1,1,1,0,2,3,0,2,0,1,0,1,0,1,2,1,1,3
1,1550.68,27.0,0.0,119.63,0,1,2,0,0,0,2,2,2,2,1,1,2,1,0,3,1,1,2,2,2,3
1,1356.23,45.0,0.0,20.1,0,2,1,0,0,0,1,1,1,0,2,3,2,1,1,2,1,3,0,2,3,3
0,212.44,49.0,1.0,9.74,0,0,1,1,0,1,3,3,1,5,0,3,3,1,1,5,2,1,2,1,1,1
0,1.31,35.0,1.0,51.22,0,0,1,0,1,1,1,3,1,3,0,1,3,1,0,1,0,5,1,1,1,1
0,51.6,29.0,0.0,283.89,0,0,0,1,1,1,1,1,0,4,0,1,2,0,0,2,1,2,0,1,0,0
1,1355.92,44.0,1.0,39.68,0,2,0,1,0,0,0,1,3,2,2,1,4,1,0,2,0,3,2,0,0,3
1,1253.71,30.0,0.0,124.29,0,0,1,1,0,1,1,1,1,2,0,1,1,2,0,3,2,0,0,1,2,3
1,1296.94,20.0,0.0,188.45,0,2,0,0,1,0,0,1,1,5,2,1,3,1,2,1,1,1,0,0,1,2
1,1118.85,46.0,0.0,5.91,0,2,0,2,1,1,1,1,1,4,0,0,2,1,1,2,0,5,1,1,1,0
1,1289.54,47.0,1.0,65.17,0,3,0,1,1,1,0,1,1,1,3,1,3,1,2,1,1,4,1,3,2,1
1,1596.83,27.0,1.0,0.76,0,2,1,0,2,0,2,3,0,4,1,0,1,1,1,2,0,3,1,1,4,1
0,4.52,46.0,0.0,66.26,0,2,0,3,2,2,0,1,0,5,0,0,2,2,4,5,1,3,0,1,1,2
0,14.61,45.0,0.0,97.29,0,3,0,2,0,1,1,2,0,5,2,1,2,2,0,0,4,3,0,1,2,3
1,1545.64,47.0,0.0,205.95,2,0,1,2,0,1,1,1,0,4,2,0,1,2,3,0,2,1,1,1,1,2
1,1243.87,69.0,1.0,309.31,0,2,0,1,1,1,1,5,0,0,0,0,3,2,1,0,0,1,2,2,2,3
1,1504.69,29.0,0.0,69.38,1,0,0,1,1,0,0,2,1,4,2,1,2,0,4,1,0,5,0,1,2,2
